,Brand,Year,Model,Title,UsedOrNew,Transmission,FuelType,Kilometres,CylindersinEngine,BodyType,Price,Colour
196,Toyota,2020,Camry,Toyota Camry Ascent,USED,Automatic,Unleaded,7528,4,Sedan,32990,Silver
197,Honda,2018,City,Honda City VTI,USED,Automatic,Unleaded,94385,4,Sedan,19999,Silver
198,Toyota,2018,C-HR,Toyota C-HR Koba,USED,Automatic,Premium,110047,4,SUV,29990,Red
199,Kia,2012,Sorento,Kia Sorento Platinum,USED,Automatic,Diesel,164189,4,SUV,16990,Silver
200,Holden,2013,Cruze,Holden Cruze CD,USED,Automatic,Unleaded,106722,4,Hatchback,10800,White
201,Isuzu,2018,MU-X,Isuzu MU-X LS-U,USED,Automatic,Diesel,72650,4,SUV,39880,White
202,Kia,2015,Cerato,Kia Cerato S,USED,Automatic,Unleaded,123624,4,Sedan,14995,Silver
203,Lexus,2014,IS350,Lexus IS350 F,USED,Automatic,Premium,155620,6,Sedan,27990,Silver
204,Mazda,2018,2,Mazda 2 Maxx,USED,Automatic,Unleaded,53426,4,Hatchback,22990,White
205,Toyota,2009,Corolla,Toyota Corolla Levin,USED,Automatic,Unleaded,114727,4,Hatchback,14995,Silver
206,Toyota,2016,Kluger,Toyota Kluger GXL,USED,Automatic,Unleaded,98983,6,SUV,39280,Grey
207,Volkswagen,2007,Golf,Volkswagen Golf GTI,USED,Automatic,Premium,160523,4,Hatchback,10990,Silver
208,Holden,2015,Commodore,Holden Commodore SS-V,USED,Automatic,Premium,96000,8,Sedan,47990,White
209,Nissan,2016,X-Trail,Nissan X-Trail ST,USED,Automatic,Unleaded,39397,4,SUV,23950,Red
210,Hyundai,2020,I30,Hyundai I30,USED,Automatic,Unleaded,54368,4,Hatchback,26990,White
211,Holden,2014,Cruze,Holden Cruze Equipe,USED,Automatic,Unleaded,220683,4,Hatchback,7990,Silver
212,Toyota,2013,Camry,Toyota Camry Atara,USED,Automatic,Unleaded,89140,4,Sedan,17900,Grey
213,Toyota,2013,Corolla,Toyota Corolla Ascent,USED,Automatic,Unleaded,149974,4,Hatchback,16990,Red
214,Hyundai,2019,I30,Hyundai I30 Active,USED,Automatic,Unleaded,44879,4,Hatchback,26990,White
215,Mazda,2016,BT-50,Mazda BT-50 XT,USED,Automatic,Diesel,110909,5,Ute / Tray,34913,White
216,Toyota,2013,Corolla,Toyota Corolla Ascent,USED,Automatic,Unleaded,109519,4,Hatchback,19990,White
217,Kia,2020,Stinger,Kia Stinger GT,USED,Automatic,Unleaded,19372,6,Sedan,55888,Grey
218,Toyota,2015,RAV4,Toyota RAV4 GXL,USED,Automatic,Unleaded,155198,4,SUV,24950,Silver
219,Honda,2012,Jazz,Honda Jazz Vibe,USED,Automatic,Unleaded,111323,4,Hatchback,12800,Green
220,BMW,2017,430I,BMW 430I Gran,USED,Automatic,Premium,79882,4,Hatchback,41280,Grey
221,Volkswagen,2008,Golf,Volkswagen Golf GTI,USED,Manual,Premium,155839,4,Hatchback,13990,Silver
222,Subaru,2018,Outback,Subaru Outback 2.5I,USED,Automatic,Unleaded,66805,4,SUV,33898,Grey
223,Ford,2011,Territory,Ford Territory TX,USED,Automatic,Diesel,227646,6,SUV,8913,Silver
224,Kia,2013,RIO,Kia RIO S,USED,Automatic,Unleaded,88465,4,Hatchback,14888,Silver
225,Holden,2013,Commodore,Holden Commodore SV6,USED,Automatic,Unleaded,237426,6,Sedan,15995,Blue
226,Toyota,1999,Landcruiser,Toyota Landcruiser (4X4),USED,Manual,Diesel,41750,6,Ute / Tray,48999,Red
227,Toyota,2013,Hilux,Toyota Hilux SR,USED,Manual,Diesel,345194,4,Ute / Tray,12990,White
228,Toyota,2017,Corolla,Toyota Corolla ZR,USED,Automatic,Unleaded,130970,4,Hatchback,23990,Red
229,Honda,2016,Civic,Honda Civic VTI-L,USED,Automatic,Unleaded,35612,4,Sedan,24888,Silver
230,Audi,2013,A3,Audi A3 Sportback,USED,Automatic,Premium,148265,4,Hatchback,13999,Brown
231,Hyundai,2018,I30,Hyundai I30 N,USED,Automatic,Unleaded,83494,4,Hatchback,27950,Black
232,Mazda,2012,2,Mazda 2 Genki,USED,Automatic,Unleaded,85492,4,Hatchback,13990,Silver
233,Volkswagen,2013,Tiguan,Volkswagen Tiguan 155,USED,Automatic,Premium,126408,4,SUV,19999,Grey
234,Renault,2017,Trafic,Renault Trafic LWB,USED,Manual,Diesel,173156,4,Commercial,22950,White
235,Peugeot,2013,208,Peugeot 208 GTI,USED,Manual,Premium,78783,4,Hatchback,14990,Grey
236,Land,2020,Rover,Land Rover Range,USED,Automatic,Premium,26227,4,SUV,69800,Black
237,Honda,2017,HR-V,Honda HR-V VTI,USED,Automatic,Unleaded,101821,4,SUV,20995,Black
238,Mitsubishi,2014,Triton,Mitsubishi Triton GLX,USED,Manual,Diesel,221872,4,Ute / Tray,14413,White
239,Nissan,2015,Pulsar,Nissan Pulsar ST,USED,Automatic,Unleaded,90691,4,Sedan,14776,White
240,Mazda,2018,6,Mazda 6 Touring,USED,Automatic,Unleaded,24305,4,Sedan,29990,Blue
241,Audi,2007,A4,Audi A4 2.0,USED,Automatic,Premium,168901,4,Sedan,7950,Silver
242,Honda,2005,Accord,Honda Accord VTI,USED,Automatic,Unleaded,167562,4,Sedan,7949,Gold
243,Audi,2016,SQ5,Audi SQ5 3.0,USED,Automatic,Diesel,152995,6,SUV,29999,Grey
244,Toyota,2007,Corolla,Toyota Corolla Ascent,USED,Automatic,Unleaded,236946,4,Sedan,8880,Silver
